Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,37.087502,37.902500,37.087502,37.895000,34.612858,12868000
2013-01-02,38.540001,38.985001,38.482498,38.845001,35.480579,15826400
2013-01-03,39.277500,39.520000,38.705002,38.875000,35.507977,14937200
2013-01-04,38.900002,39.297501,38.695000,39.192501,35.797985,10376000
2013-01-07,39.235001,39.692501,39.200001,39.472500,36.053730,10242400
2013-01-08,39.412498,39.840000,39.252499,39.840000,36.389408,11800400
2013-01-09,40.349998,40.637501,39.927502,40.447498,36.944283,17552800
2013-01-10,40.507500,40.692501,39.817501,40.127499,36.651997,16313600
2013-01-11,39.945000,40.312500,39.875000,40.290001,36.800430,9578000
2013-01-14,40.320000,40.452499,39.887501,40.162498,36.683960,8877600
2013-01-15,39.955002,40.162498,39.772499,40.112499,36.638302,6696000
2013-01-16,40.027500,40.195000,39.827499,40.049999,36.581219,5464400
2013-01-17,40.250000,40.272499,39.902500,39.970001,36.508141,7833600
2013-01-18,39.630001,39.632500,39.125000,39.567501,36.140507,13812400
2013-01-22,39.669998,39.919998,39.445000,39.762501,36.318619,6918000
2013-01-23,39.572498,39.990002,39.520000,39.762501,36.318619,7108800
2013-01-24,39.825001,40.042500,39.724998,39.889999,36.435074,6794000
2013-01-25,39.980000,40.035000,39.757500,39.959999,36.499008,6701600
2013-01-28,40.070000,40.145000,39.075001,39.087502,35.702076,13532000
2013-01-29,38.935001,39.272499,38.779999,39.165001,35.772865,11664000
2013-01-30,39.247501,39.772499,38.687500,38.752499,35.396088,18708000
2013-01-31,39.750000,39.875000,39.087502,39.477501,36.058304,16685600
2013-02-01,39.750000,39.869999,39.337502,39.639999,36.206722,12738400
2013-02-04,39.442501,39.599998,39.139999,39.162498,35.770576,10532000
2013-02-05,39.404999,39.900002,39.200001,39.882500,36.428211,11105200
2013-02-06,39.805000,40.220001,39.654999,40.205002,36.722790,15056800
2013-02-07,39.744999,39.947498,39.240002,39.264999,35.864208,20182800
2013-02-08,39.349998,39.735001,39.275002,39.450001,36.033184,12914000
2013-02-11,39.395000,39.542500,38.985001,39.082500,35.697506,11032400
2013-02-12,39.209999,39.424999,39.105000,39.200001,35.804829,9805600
2013-02-13,39.112499,39.347500,38.535000,38.692501,35.641335,13917600
2013-02-14,38.650002,39.162498,38.575001,38.994999,35.919979,12760000
2013-02-15,39.087502,39.520000,38.935001,39.497501,36.382854,17884400
2013-02-19,39.502499,39.697498,39.165001,39.402500,36.295341,13210000
2013-02-20,39.279999,39.402500,38.797501,38.855000,35.791019,15688800
2013-02-21,38.779999,39.572498,38.697498,39.360001,36.256195,14220800
2013-02-22,39.575001,39.895000,39.172501,39.857498,36.714466,11738000
2013-02-25,39.799999,40.087502,38.972500,38.972500,35.899250,11183200
